"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Imp","MM'25","177","Tiny","Fiend (Devil)","lawful evil","13","21 (6d4 + 6)","20 ft., Fly 40 ft.","6","17","13","11","12","14","","Deception +4, Insight +3, Stealth +5","","cold","fire, poison","poisoned","Darkvision 120 ft. (unimpeded by magical Darkness), passive Perception 11","Common, Infernal","1 (XP 200; PB +2)","Magic Resistance. The imp has Advantage on saving throws against spells and other magical effects.","Invisibility. The imp casts Invisibility on itself, requiring no spell components and using Charisma as the spellcasting ability.
Sting. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Piercing damage plus 7 (2d6) Poison damage.
Shape-Shift. The imp shape-shifts to resemble a rat (Speed 20 ft.), a raven (20 ft., Fly 60 ft.), or a spider (20 ft., Climb 20 ft.), or it returns to its true form. Its statistics are the same in each form, except for its Speed. Any equipment it is wearing or carrying isn't transformed.","","","","","","","Any",""
"Incubus","MM'25","178","Medium","Fiend","neutral evil","15","66 (12d8 + 12)","30 ft., Fly 60 ft.","8","17","13","15","12","20","","Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","","cold, fire, poison, psychic","","","Darkvision 60 ft., passive Perception 15","Abyssal, Common, Infernal; telepathy 60 ft.","4 (XP 1,100; PB +2)","Succubus Form. When the incubus finishes a Long Rest, it can shape-shift into a Succubus, using that stat block instead of this one. Any equipment it's wearing or carrying isn't transformed.","Multiattack. The incubus makes two Restless Touch attacks.
Restless Touch. Melee Attack Roll: +7, reach 5 ft. Hit: 15 (3d6 + 5) Psychic damage, and the target is cursed for 24 hours or until the incubus dies. Until the curse ends, the target gains no benefit from finishing Short Rests.
Spellcasting. The incubus casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15):At will: Disguise Self, Etherealness1/day each: Dream, Hypnotic Pattern","Nightmare (Recharge 6). Wisdom Saving Throw: DC 15, one creature the incubus can see within 60 feet. Failure: If the target has 20 Hit Points or fewer, it has the Unconscious condition for 1 hour, until it takes damage, or until a creature within 5 feet of it takes an action to wake it. Otherwise, the target takes 18 (4d8) Psychic damage.","","","","","","Planar (Lower Planes), Urban","Any"
"Intellect Devourer","MM'25","179","Tiny","Aberration","lawful evil","12","28 (8d4 + 8)","40 ft.","6","14","13","14","11","10","","Perception +2, Stealth +4","","psychic","","","Blindsight 60 ft., passive Perception 12","Understands Deep Speech but can't speak; telepathy 60 ft.","2 (XP 450; PB +2)","Detect Intelligence. The intellect devourer magically senses the location of any creature within 300 feet of itself that has an Intelligence score of 3 or higher, regardless of interposing barriers.","Multiattack. The intellect devourer makes one Claw attack and uses Devour Intellect.
Claw. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (2d4 + 2) Slashing damage.
Devour Intellect. Intelligence Saving Throw: DC 12, one creature the intellect devourer can see within 5 feet. Failure: 11 (2d10) Psychic damage, and the target has the Stunned condition until the end of the intellect devourer's next turn.
Steal Body. Intelligence Saving Throw: DC 12, one Small or Medium creature within 5 feet that has the Incapacitated condition, is a Humanoid or Beast, and has 10 Hit Points or fewer. Failure: The intellect devourer possesses the target, consumes its brain, and teleports inside its skull. While there, the intellect devourer has Total Cover against attacks and other effects originating outside its host. The intellect devourer retains its Intelligence, Wisdom, and Charisma scores; its understanding of Deep Speech; its telepathy; and its Detect Intelligence trait. It otherwise adopts the target's game statistics. It knows everything the target knew, including spells and languages.If the host body dies, the intellect devourer must leave it. The intellect devourer is also forced out if the target regains its devoured brain by means of a Wish spell. By spending 5 feet of its movement, the intellect devourer can voluntarily leave the body, teleporting to the nearest unoccupied space within 5 feet of it. The body then dies unless its brain is restored before the end of the intellect devourer's next turn.","","","","","","","Underdark",""
"Invisible Stalker","MM'25","180","Large","Elemental","neutral","14","97 (13d10 + 26)","50 ft., Fly 50 ft. (hover)","16","19","14","10","15","11","","Perception +8, Stealth +10","","bludgeoning, piercing, slashing","poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious","Darkvision 60 ft., passive Perception 18","Common, Primordial (Auran)","6 (XP 2,300; PB +3)","Air Form. The stalker can enter an enemy's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.
Invisibility. The stalker has the Invisible condition.","Multiattack. The stalker makes three Wind Swipe attacks. It can replace one attack with a use of Vortex.
Wind Swipe. Melee Attack Roll: +7, reach 5 ft. Hit: 11 (2d6 + 4) Force damage.
Vortex. Constitution Saving Throw: DC 14, one Large or smaller creature in the stalker's space. Failure: 7 (1d8 + 3) Thunder damage, and the target has the Grappled condition (escape DC 13). Until the grapple ends, the target can't cast spells with a Verbal component and takes 7 (2d6) Thunder damage at the start of each of the stalker's turns.","","","","","","","Urban",""
"Iron Golem","MM'25","181","Large","Construct","unaligned","20","252 (24d10 + 120)","30 ft.","24","9","20","3","11","1","","","","","fire, poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Darkvision 120 ft., passive Perception 10","Understands Common plus two other languages but can't speak","16 (XP 15,000; PB +5)","Fire Absorption. Whenever the golem is subjected to Fire damage, it regains a number of Hit Points equal to the Fire damage dealt.
Immutable Form. The golem can't shape-shift.
Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects.","Multiattack. The golem makes two attacks, using Bladed Arm or Fiery Bolt in any combination.
Bladed Arm. Melee Attack Roll: +12, reach 10 ft. Hit: 20 (3d8 + 7) Slashing damage plus 10 (3d6) Fire damage.
Fiery Bolt. Ranged Attack Roll: +10, range 120 ft. Hit: 36 (8d8) Fire damage.
Poison Breath (Recharge 6). Constitution Saving Throw: DC 18, each creature in a 60-foot Cone. Failure: 55 (10d10) Poison damage. Success: Half damage.","","","","","","","Any","Any"
"Jackal","MM'25","364","Small","Beast","unaligned","12","3 (1d6)","40 ft.","8","15","11","3","12","6","","Perception +5, Stealth +4","","","","","Darkvision 90 ft., passive Perception 15","—","0 (XP 10; PB +2)","","Bite. Melee Attack Roll: +1, reach 5 ft. Hit: 1 (1d4 - 1) Piercing damage.","","","","","","","Desert, Grassland",""
"Jackalwere","MM'25","182","Small","Fiend","chaotic evil","12","18 (4d6 + 4)","40 ft.","11","15","12","13","11","10","","Deception +4, Perception +4, Stealth +4","","","","","Darkvision 90 ft., passive Perception 14","Common","1/2 (XP 100; PB +2)","Pack Tactics. The jackalwere has Advantage on an attack roll against a creature if at least one of the jackalwere's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Multiattack. The jackalwere makes two Rend or Slam attacks.
Rend (Jackal or Hybrid Form Only). Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage.
Slam (Human or Hybrid Form Only). Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Bludgeoning damage.
Sleep Gaze (Recharge 5–6). Wisdom Saving Throw: DC 10, one creature the jackalwere can see within 30 feet (Constructs and Undead succeed automatically). Failure: The target has the Unconscious condition for 10 minutes or until it takes damage or a creature within 5 feet of it takes an action to wake it. Success: The target is immune to this jackalwere's Sleep Gaze for 24 hours.","Shape-Shift. The jackalwere shape-shifts into a Medium human or a Medium jackal-humanoid hybrid, or it returns to its true form (that of a Small jackal). Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Desert, Grassland","Implements"
"Jim Darkmagic","AI","197","Medium","Humanoid (Human)","chaotic neutral","12 (15 with mage armor)","40 (9d8)","30 ft.","8","14","10","18","12","14","Int +7, Wis +4","Acrobatics +5, Animal Handling +4, Arcana +7, History +7, Performance +5","","","","","passive Perception 11","Common","5 (XP 1,800; PB +3)","Special Equipment. Jim carries a wand of wonder.
Benign Transportation (Recharges after Jim Casts a Conjuration Spell of 1st Level or Higher). As a bonus action, Jim teleports up to 30 feet to a space he can see. The space must be unoccupied or occupied by a willing Small or Medium creature. If the latter, Jim and the willing creature both teleport, swapping places.
Spellcasting. Jim is a 9th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 15, +7 to hit with spell attacks). He has the following wizard spells prepared:Cantrips (at will): fire bolt, friends, mage hand, minor illusion, prestidigitation1st level (4 slots): disguise self, Jim's magic missile*, mage armor2nd level (3 slots): invisibility, Jim's glowing coin*3rd level (3 slots): incite greed*, fireball4th level (3 slots): conjure minor elementals, polymorph5th level (1 slot): mislead*New spell introduced in chapter 3","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.
Minor Conjuration. Jim conjures an inanimate object, no larger than 3 feet on a side and no more than 10 pounds, in his hand or on the ground in an unoccupied space he can see within 10 feet of him. The object is visibly magical, radiating dim light out to 5 feet. It disappears if it takes any damage, after 1 hour, or when Jim uses this feature again.","","","","","","","",""
"Juvenile Shadow Dragon","MM'25","275","Medium","Dragon","chaotic evil","15","45 (6d8 + 18)","30 ft., Climb 30 ft., Fly 60 ft.","17","14","17","12","11","15","Dex +4","Perception +4, Stealth +6","","See Living Shadow","necrotic","","Blindsight 10 ft., Darkvision 60 ft., passive Perception 14","Common, Draconic","4 (XP 1,100; PB +2)","Living Shadow. While in Dim Light or Darkness, the dragon has Resistance to damage that isn't Force, Psychic, or Radiant.
Sunlight Sensitivity. While in sunlight, the dragon has Disadvantage on ability checks and attack rolls.","Multiattack. The dragon makes two Rend attacks.
Rend. Melee Attack Roll: +5, reach 10 ft. Hit: 7 (1d8 + 3) Slashing damage plus 3 (1d6) Necrotic damage.
Shadow Breath (Recharge 5–6). Dexterity Saving Throw: DC 13, each creature in a 30-foot Cone. Failure: 17 (5d6) Necrotic damage. Success: Half damage. Failure or Success: A Humanoid reduced to 0 Hit Points by this damage dies, and a Shadow rises from its corpse. The shadow is under the dragon's control and shares the dragon's Initiative count but acts immediately after the dragon.","Shadow Stealth. While in Dim Light or Darkness, the dragon takes the Hide action.","","","","","","Planar (Shadowfell), Underdark","Any"
"K'thriss Drow'b","AI","202","Medium","Humanoid (Elf)","chaotic neutral","14 (studded leather)","44 (8d8 + 8)","30 ft.","8","14","12","14","11","18","Str +0, Dex +3, Con +2, Int +3, Wis +3, Cha +7","Arcana +4, Insight +2, Investigation +4, Perception +2, Religion +4","","","","","Darkvision 120 ft., passive Perception 12","Celestial, Common, Elvish, Undercommon; can read all writing","3 (XP 700; PB +2)","Special Equipment. K'thriss wears a robe of stars (accounted for in his statistics). The robe allows him to cast the following spells: 6/day: magic missile (7 missiles)
Awakened Mind. K'thriss can telepathically speak to any creature he can see within 30 feet of him, provided the creature can understand at least one language.
Fey Ancestry. K'thriss has advantage on saving throws against being charmed, and magic can't put him to sleep. Sunlight Sensitivity. While in sunlight, K'thriss has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Innate Spellcasting. K'thriss's innate spellcasting ability is Charisma (spell save DC 14). He can innately cast the following spells, requiring no material components:At will: dancing lights, disguise self1/day each: darkness, faerie fire
Spellcasting. K'thriss is a 5th-level spellcaster. His spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). He regains his expended spell slots when he finishes a short or long rest, and knows the following warlock spells:Cantrips (at will): chill touch, eldritch blast, mending, prestidigitation, thorn whip, vicious mockery1st-3rd level (2 3rd-level slots): dissonant whispers, fly, hex, misty step, sending, shatter","Multiattack. K'thriss makes two attacks with his sickle.
Sickle. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","","","","","","",""
"Keg Robot","AI","212","Medium","Construct","unaligned","14 (natural armor)","39 (6d8 + 12)","30 ft.","16","16","15","6","8","5","","Perception +1","","bludgeoning, piercing, and slashing from nonmagical attacks","poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Darkvision 60 ft., passive Perception 11","Understands Common but can't speak","2 (XP 450; PB +2)","Customizable Storage. A keg robot can hold up to three types of liquid payload totaling 12 gallons within its hollow, barrel-shaped body. A full keg robot can make one liquid attack per gallon before the liquid must be refilled. Filling a keg robot takes 2 rounds per gallon. Differing payloads can alter the keg robot's attacks from those presented here.","Fist. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage.
Acid Squirt. Ranged Weapon Attack: +5 to hit, range 20/40 ft., one target. Hit: 7 (1d8 + 3) acid damage.
Beer Shower. The keg robot spews an unnaturally potent beer in a 15-foot cone or in a 30-foot line that is 5 feet wide. Each creature in the area must succeed on a DC 13 Constitution saving throw or be poisoned. While poisoned in this way, a creature has its speed halved by exposure to the potent brew. An affected creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.Additionally, the beer shower extinguishes any fires or open flames in its area.
Hot Oil Spray (Recharge 5–6). The keg robot sprays hot oil in a 15-foot cone or in a 30-foot line that is 5 feet wide. Each creature in the area must make a DC 13 Dexterity saving throw. On a failed save, a creature takes 7 (1d8 + 3) fire damage and falls prone. On a successful save, a creature takes half as much damage and doesn't fall prone.Any creature affected by the hot oil spray that takes fire damage before the oil dries (after 1 minute) takes an additional 3 (1d6) fire damage, and the oil burns away.If the oil that remains in the area of the spray is lit, it burns for 1d4 rounds and deals 3 (1d6) fire damage to any creature that enters the area for the first time on a turn or ends its turn there.","","","","","","","",""
